Designator,Layer,Center-X(mm),Center-Y(mm),Rotation
R4,TopLayer,22.2724mm,20.9180mm,90
R3,TopLayer,22.2724mm,17.4255mm,90
R2,TopLayer,22.3486mm,13.7679mm,90
R5,TopLayer,27.8731mm,17.9462mm,90
R6,TopLayer,27.8985mm,21.3498mm,90
C2,TopLayer,24.1520mm,10.1865mm,90
C1,TopLayer,22.4755mm,10.1992mm,90
R1,TopLayer,22.3105mm,5.3224mm,90
LED2,TopLayer,24.1520mm,13.7679mm,270
LED1,TopLayer,24.0631mm,5.3224mm,270
D2,TopLayer,28.0128mm,24.4232mm,0
D1,TopLayer,23.1487mm,24.4867mm,0
Q2,TopLayer,25.1045mm,21.4133mm,90
Q1,TopLayer,25.1172mm,17.9335mm,90
C'1,TopLayer,27.8477mm,10.4913mm,270
VR1,TopLayer,27.7334mm,2.2617mm,0
U1,TopLayer,10.7328mm,12.5806mm,0
J2,TopLayer,10.1820mm,24.5629mm,0
J1,TopLayer,10.1312mm,0.8139mm,180
C4,BottomLayer,7.3372mm,15.4189mm,0
C3,BottomLayer,7.3499mm,8.3831mm,0
R9,BottomLayer,7.3880mm,13.7806mm,0
R7,BottomLayer,7.3880mm,12.0280mm,0
R8,BottomLayer,7.3880mm,10.2373mm,0
U2,BottomLayer,9.6019mm,17.7407mm,0
SB,BottomLayer,27.8223mm,23.3183mm,0
U3,BottomLayer,20.6395mm,13.2202mm,180
